Name;Organisation;Country;Pays;Pais;URL;Description;Location;Latitude;Longitude;Has Issue;Issue Type;Code En;Code Fr;Country Slug;Thematic;Portal typology;Code Es
Government Budget;Ministry of Finance of the Russian Federation;Russian Federation;Fédération de Russie;Federación de Rusia;https://minfin.ru/opendata;;61.9494224377, 96.5680544878;;;;;Russian Federation - Government Budget;Fédération de Russie - Government Budget;russian-federation;Administration,Economy;Public Sector, National Level;Federación de Rusia - Government Budget
Government Budget;Oficina Nacional de Presupuesto del Ministerio del Poder Popular para la Banca y Finanzas;Venezuela;Venezuela;Venezuela;https://transparencia.org.ve/project/presupuesto-ciudadano-2016;;7.12244877979, -66.1695639632;;;;;Venezuela - Government Budget;Venezuela - Government Budget;venezuela;Administration,Economy;Public Sector, National Level;Venezuela - Government Budget
Government Budget;Finance Division, Ministry of Finance, Government of Bangladesh;Bangladesh;Bangladesh;Bangladesh;https://www.mof.gov.bd/en/index.php?option=com_content&view=article&id=306&Itemid=1;;23.8432324524, 90.2684981484;;;;;Bangladesh - Government Budget;Bangladesh - Government Budget;bangladesh;Administration,Economy;Public Sector, National Level;Bangladesh - Government Budget
Government Budget;The New Zealand Treasury;New Zealand;Nouvelle-Zélande;Nueva Zelandia;https://www.treasury.govt.nz/budget/2017;;-41.8388743503, 171.779927382;;;;;New Zealand - Government Budget;Nouvelle-Zélande - Government Budget;new-zealand;Administration,Economy;Public Sector, National Level;Nueva Zelandia - Government Budget
Government Budget;Ministry of Finance;Sweden;Suède;Suecia;https://www.regeringen.se/4a6f5d/globalassets/regeringen/dokument/finansdepartementet/tema-statens-budget/bp-for-2016/bilaga-2-tabellsamling-makroekonomisk-utveckling-och-offentliga-finanser.xlsx;;62.7898967842, 16.7397540331;;;;;Sweden - Government Budget;Suède - Government Budget;sweden;Administration,Economy;Public Sector, National Level;Suecia - Government Budget
Government Budget;Federal Finance Administration;Switzerland;Suisse;Suiza;https://www.efv.admin.ch/efv/de/home/finanzberichterstattung/finanzberichte/budget.html;;46.8025693761, 8.23442917229;;;;;Switzerland - Government Budget;Suisse - Government Budget;switzerland;Administration,Economy;Public Sector, National Level;Suiza - Government Budget
Land Ownership;The Norwegian Mapping Authority;Norway;Norvège;Noruega;https://www.seeiendom.no;;64.4481711399, 14.0848008367;;;;;Norway - Land Ownership;Norvège - Land Ownership;norway;Geospatial,Administration;Public Sector, National Level;Noruega - Land Ownership
Land Ownership;General Directorate of Land Registry and Cadastre;Turkey;Turquie;Turquía;https://parselsorgu.tkgm.gov.tr;;39.0605953417, 35.1796718918;;;;;Turkey - Land Ownership;Turquie - Land Ownership;turkey;Geospatial,Administration;Public Sector, National Level;Turquía - Land Ownership
National Laws;Royal Thai Government Gazette  Secretariat of the Cabinet.  Office of the Prime Minister Electronic Government Agency (Public Organization);Thailand;Thaïlande;Tailandia;https://www.ratchakitcha.soc.go.th/RKJ/special/search.jsp;;15.127035821, 101.017360947;;;;;Thailand - National Laws;Thaïlande - National Laws;thailand;Administration;Public Sector, National Level;Tailandia - National Laws
National Laws;Sejm - lower house of the Polish parliament;Poland;Pologne;Polonia;https://isap.sejm.gov.pl;;52.1246100866, 19.4008838547;;;;;Poland - National Laws;Pologne - National Laws;poland;Administration;Public Sector, National Level;Polonia - National Laws
National Laws;Parliament Research Center and office of the Legal Vice President;Iran;Iran;Irán;https://rc.majlis.ir/fa/law;;32.7394630887, 54.1977660932;;;;;Iran - National Laws;Iran - National Laws;iran;Administration;Public Sector, National Level;Irán - National Laws
National Laws;The National Council for Law Reporting;Kenya;Kenya;Kenya;https://www.kenyalaw.org;;0.529561859037, 37.8580209601;;;;;Kenya - National Laws;Kenya - National Laws;kenya;Administration;Public Sector, National Level;Kenya - National Laws
National Laws;Organismo Judicial;Guatemala;Guatemala;Guatemala;https://www.oj.gob.gt/index.php/publicaciones-oj/leyes-y-resoluciones;;15.7021351228, -90.3562422681;;;;;Guatemala - National Laws;Guatemala - National Laws;guatemala;Administration;Public Sector, National Level;Guatemala - National Laws
National Laws;Republic of Namibia Parliament;Namibia;Namibie;Namibia;https://www.parliament.na/index.php?option=com_phocadownload&view=category&id=43&Itemid=1497;;-22.1332462385, 17.2182775969;;;;;Namibia - National Laws;Namibie - National Laws;namibia;Administration;Public Sector, National Level;Namibia - National Laws
National Maps;Ministry of the Interior;Taiwan;;;https://data.gov.tw/node/24888;;23.7540132935, 120.950797994;;;;;Taiwan - National Maps;National Maps;taiwan;Geospatial;Public Sector, National Level;National Maps
National Maps;Survery of Israel;Israel;Israël masc.;Israel;https://www.govmap.gov.il;;31.3584558552, 34.9658101977;;;;;Israel - National Maps;Israël masc. - National Maps;israel;Geospatial;Public Sector, National Level;Israel - National Maps
National Maps;Centro Nacional de Registros;El Salvador;El Salvador masc.;El Salvador;https://cloud.cnr.gob.sv/CNRcloud;;13.7368971053, -88.8665121069;;;;;El Salvador - National Maps;El Salvador masc. - National Maps;el-salvador;Geospatial;Public Sector, National Level;El Salvador - National Maps
National Statistics;Statistik Austria;Austria;Autriche;Austria;https://www.statistik.at;;47.5929026069, 14.1401934888;;;;;Austria - National Statistics;Autriche - National Statistics;austria;Statistics;Public Sector, National Level;Austria - National Statistics
National Statistics;Statistics New Zealand;New Zealand;Nouvelle-Zélande;Nueva Zelandia;https://www.stats.govt.nz/browse_for_stats/snapshots-of-nz/top-statistics.aspx;;-41.8388743503, 171.779927382;;;;;New Zealand - National Statistics;Nouvelle-Zélande - National Statistics;new-zealand;Statistics;Public Sector, National Level;Nueva Zelandia - National Statistics
National Statistics;Philippine Statistics Authority;Philippines;Philippines;Filipinas;https://data.gov.ph/catalogue/dataset/employment-rate-in-april-2016;;11.7418326576, 122.878708394;;;;;Philippines - National Statistics;Philippines - National Statistics;philippines;Statistics;Public Sector, National Level;Filipinas - National Statistics
National Statistics;Pakistan Bureau of Statistics;Pakistan;Pakistan;Pakistán;https://www.pbs.gov.pk/content/labour-force-statistics;;29.3579034266, 68.7901436462;;;;;Pakistan - National Statistics;Pakistan - National Statistics;pakistan;Statistics;Public Sector, National Level;Pakistán - National Statistics
National Statistics;National Planning Commission Secretariat Central Bureau of Statistics;Nepal;Népal;Nepal;https://cbs.gov.np/sectoral_statistics/population;;28.2530071386, 83.9385478077;;;;;Nepal - National Statistics;Népal - National Statistics;nepal;Statistics;Public Sector, National Level;Nepal - National Statistics
National Statistics;Croatian Bureau of Statistics;Croatia;Croatie;Croacia;https://data.gov.hr/publisher/dr-avni-zavod-za-statistiku;;45.0511618697, 16.4117782125;;;;;Croatia - National Statistics;Croatie - National Statistics;croatia;Statistics;Public Sector, National Level;Croacia - National Statistics
National Statistics;Instituto Nacional de Estadísticas adscrito al Ministerio del Poder Popular para la Planificación;Venezuela;Venezuela;Venezuela;https://www.ine.gov.ve/index.php?option=com_content&view=category&id=100&Itemid=59;;7.12244877979, -66.1695639632;;;;;Venezuela - National Statistics;Venezuela - National Statistics;venezuela;Statistics;Public Sector, National Level;Venezuela - National Statistics
National Statistics;Department of Statistics Malaysia;Malaysia;Malaisie;Malasia;https://www.dosm.gov.my/v1/index.php?r=column/ctwoByCat&parent_id=99&menu_id=TE5CRUZCblh4ZTZMODZIbmk2aWRRQT09;;3.79236690155, 109.70819446;;;;;Malaysia - National Statistics;Malaisie - National Statistics;malaysia;Statistics;Public Sector, National Level;Malasia - National Statistics
National Statistics;Danmarks Statistik/Statistics Denmark;Denmark;Danemark;Dinamarca;https://www.statbank.dk;;55.9633982423, 10.0462984147;;;;;Denmark - National Statistics;Danemark - National Statistics;denmark;Statistics;Public Sector, National Level;Dinamarca - National Statistics
National Statistics;Statistik Austria;Austria;Autriche;Austria;https://data.statistik.gv.at;;47.5929026069, 14.1401934888;;;;;Austria - National Statistics;Autriche - National Statistics;austria;Statistics;Public Sector, National Level;Austria - National Statistics
National Statistics;Statistisches Bundesamt (unemployment data), Bundesministerium für Bildung und Forschung;Germany;Allemagne;Alemania;https://www.destatis.de/EN/FactsFigures/SocietyState/Population/Population.html;;51.1065921857, 10.3936615548;;;;;Germany - National Statistics;Allemagne - National Statistics;germany;Statistics;Public Sector, National Level;Alemania - National Statistics
National Statistics;Australian Bureau of Statistics;Australia;Australie;Australia;https://www.abs.gov.au/AUSSTATS/abs@.nsf/mf/3101.0;;-25.7349682419, 134.489562473;;;;;Australia - National Statistics;Australie - National Statistics;australia;Statistics;Public Sector, National Level;Australia - National Statistics
Procurement;Ministry of Business Innovation and Employment;New Zealand;Nouvelle-Zélande;Nueva Zelandia;https://www.contractmapping.govt.nz;;-41.8388743503, 171.779927382;;;;;New Zealand - Procurement;Nouvelle-Zélande - Procurement;new-zealand;Administration;Public Sector, National Level;Nueva Zelandia - Procurement
Water Quality;US Geological Survey;United States of America;États-Unis d'Amérique;Estados Unidos de América;https://www.waterqualitydata.us;;45.6957437802, -112.491750759;;;;;United States of America - Water Quality;États-Unis d'Amérique - Water Quality;united-states-of-america;Environment;Public Sector, National Level;Estados Unidos de América - Water Quality
Water Quality;Autoridad Nacional de los Servicios Públicos, Ministry of the Environment;Panama;Panama;Panamá;https://www.asep.gob.pa/index.php?option=com_content&view=article&id=136&Itemid=118;;8.50718634568, -80.1026619473;;;;;Panama - Water Quality;Panama - Water Quality;panama;Environment;Public Sector, National Level;Panamá - Water Quality
Weather Forecast;Ukrainian Hydrometeorological Center;Ukraine;Ukraine;Ucrania;https://meteo.gov.ua/en/33464/forecast/ukraine/33846/1;;49.0170881641, 31.3871147731;;;;;Ukraine - Weather Forecast;Ukraine - Weather Forecast;ukraine;Weather Forecast;Public Sector, National Level;Ucrania - Weather Forecast
Weather Forecast;Norwegian Meteorological Institute;Norway;Norvège;Noruega;https://data.norge.no/data/meteorologisk-institutt/v%C3%A6rdata-fra-meteorologisk-institutt;;64.4481711399, 14.0848008367;;;;;Norway - Weather Forecast;Norvège - Weather Forecast;norway;Weather Forecast;Public Sector, National Level;Noruega - Weather Forecast
Weather Forecast;ZAMG - Zentralanstalt für Meterologie und Geodynamik;Austria;Autriche;Austria;https://www.data.gv.at/katalog/dataset/464ce024-8e5b-4318-88a7-2fd2898b8ffc;;47.5929026069, 14.1401934888;;;;;Austria - Weather Forecast;Autriche - Weather Forecast;austria;Weather Forecast;Public Sector, National Level;Austria - Weather Forecast
Weather Forecast;SMN/CONAGUA;Mexico;Mexique;México;https://smn.cna.gob.mx/es/pronosticos/pronosticossubmenu/pronostico-meteorologico-general;;23.9504638656, -102.532885497;;;;;Mexico - Weather Forecast;Mexique - Weather Forecast;mexico;Weather Forecast;Public Sector, National Level;México - Weather Forecast
Weather Forecast;Philippine Atmospheric Geophysical and Astronomical Services Administration;Philippines;Philippines;Filipinas;https://www.pagasa.dost.gov.ph;;11.7418326576, 122.878708394;;;;;Philippines - Weather Forecast;Philippines - Weather Forecast;philippines;Weather Forecast;Public Sector, National Level;Filipinas - Weather Forecast
Administrative Boundaries;Statistics New Zealand;New Zealand;Nouvelle-Zélande;Nueva Zelandia;https://datafinder.stats.govt.nz/layer/8405-regional-council-2016-generalised-version;;-41.8388743503, 171.779927382;;;;;New Zealand - Administrative Boundaries;Nouvelle-Zélande - Administrative Boundaries;new-zealand;Geospatial;Public Sector, National Level;Nueva Zelandia - Administrative Boundaries
Administrative Boundaries;Centro Nacional de Registros;El Salvador;El Salvador masc.;El Salvador;https://www.dropbox.com/s/c5oq2rehg7s3jte/L%C3%ADmites_WGS84.zip;;13.7368971053, -88.8665121069;;;;;El Salvador - Administrative Boundaries;El Salvador masc. - Administrative Boundaries;el-salvador;Geospatial;Public Sector, National Level;El Salvador - Administrative Boundaries
Air Quality;Ministry of Environment & Energy, District of Western Greece, District of Central Macedonia;Greece;Grèce;Grecia;https://www.pkm.gov.gr/default.aspx?lang=el-GR&page=507;;39.0685372012, 22.9597463407;;;;;Greece - Air Quality;Grèce - Air Quality;greece;Environment;Public Sector, National Level;Grecia - Air Quality
Air Quality;Department for Environment, Food & Rural Affairs;United Kingdom of Great Britain and Northern Ireland;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;Reino Unido de Gran Bretaña e Irlanda del Norte;https://uk-air.defra.gov.uk/data;;54.1553497203, -2.89558470051;;;;;United Kingdom of Great Britain and Northern Ireland - Air Quality;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord - Air Quality;united-kingdom-of-great-britain-and-northern-ireland;Environment;Public Sector, National Level;Reino Unido de Gran Bretaña e Irlanda del Norte - Air Quality
Air Quality;National Agency for Environmental Protection;Romania;Roumanie;Rumania;https://data.gov.ro;;45.8436147334, 24.9692587593;;;;;Romania - Air Quality;Roumanie - Air Quality;romania;Environment;Public Sector, National Level;Rumania - Air Quality
Air Quality;Environment Protection Bureau;China, Hong Kong Special Administrative Region;;;https://data.gov.hk/en-data/dataset/hk-epd-airteam-current-aqhi-of-individual-air-quality-monitoring-stations;;22.3773617143, 114.110058162;;;;;China, Hong Kong Special Administrative Region - Air Quality;Air Quality;china--hong-kong-special-administrative-region;Environment;Public Sector, National Level;Air Quality
Air Quality;Hourly air quality recording and reporting is the responsibility of the states.  The National Pollutant Inventory collects annual data from businesses;Australia;Australie;Australia;https://www.epa.vic.gov.au/our-work/monitoring-the-environment/epa-airwatch/hourly-air-quality-data-table;;-25.7349682419, 134.489562473;;;;;Australia - Air Quality;Australie - Air Quality;australia;Environment;Public Sector, National Level;Australia - Air Quality
Company Register;Ministerio de Justicia y Derechos Humanos. Subsecretaría de Asuntos Registrales. Inspección General de Justicia;Argentina;Argentine;Argentina;https://datos.jus.gob.ar/dataset/entidades-constituidas-en-la-inspeccion-general-de-justicia-igj;;-35.3764363409, -65.1677272409;;;;;Argentina - Company Register;Argentine - Company Register;argentina;Economy,Administration;Public Sector, National Level;Argentina - Company Register
Draft Legislation;Parlamento Uruguayo;Uruguay;Uruguay  masc.;Uruguay;https://parlamento.gub.uy/documentosyleyes/documentos/versiones-taquigraficas;;-32.7996453411, -56.0123963779;;;;;Uruguay - Draft Legislation;Uruguay  masc. - Draft Legislation;uruguay;Administration;Public Sector, National Level;Uruguay - Draft Legislation
Draft Legislation;Greek Parliament - ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ;Greece;Grèce;Grecia;https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou;;39.0685372012, 22.9597463407;;;;;Greece - Draft Legislation;Grèce - Draft Legislation;greece;Administration;Public Sector, National Level;Grecia - Draft Legislation
Government Budget;Government of Nepal,  Ministry Of Finance;Nepal;Népal;Nepal;https://mof.gov.np/en/content/mof-link-pages-9.html;;28.2530071386, 83.9385478077;;;;;Nepal - Government Budget;Népal - Government Budget;nepal;Administration,Economy;Public Sector, National Level;Nepal - Government Budget
Government Budget;Ministry of Finance;Republic of North Macedonia;Macédoine du Nord;Macedonia del Norte;https://www.finance.gov.mk/files/u6/Budzet%202016%20-%20za%20objavuvanje.xml;;41.5996823123, 21.6974762673;;;;;Republic of North Macedonia - Government Budget;Macédoine du Nord - Government Budget;republic-of-north-macedonia;Administration,Economy;Public Sector, National Level;Macedonia del Norte - Government Budget
Government Budget;Ministry of Finance;Saint Kitts and Nevis;Saint-Kitts-et-Nevis masc.;Saint Kitts y Nevis;https://mof.gov.kn/publications;;17.3261912882, -62.7535197769;;;;;Saint Kitts and Nevis - Government Budget;Saint-Kitts-et-Nevis masc. - Government Budget;saint-kitts-and-nevis;Administration,Economy;Public Sector, National Level;Saint Kitts y Nevis - Government Budget
Government Budget;Ministry of Finance, Regionalne Izby Obrachunkowe;Poland;Pologne;Polonia;https://www.finanse.mf.gov.pl/pl/web/bip/ministerstwo-finansow/dzialalnosc/finanse-publiczne/budzet-panstwa/ustawy-budzetowe/2016/ustawa;;52.1246100866, 19.4008838547;;;;;Poland - Government Budget;Pologne - Government Budget;poland;Administration,Economy;Public Sector, National Level;Polonia - Government Budget
Government Budget;Republic of Mozambique Ministry of Economics and Finance;Mozambique;Mozambique;Mozambique;https://www.dno.gov.mz/docs/OE2017/Lei_OE_2017.pdf;;-17.2593235217, 35.5514219184;;;;;Mozambique - Government Budget;Mozambique - Government Budget;mozambique;Administration,Economy;Public Sector, National Level;Mozambique - Government Budget
Government Budget;Ministry of Finance / Verkhovna Rada;Ukraine;Ukraine;Ucrania;https://zakon4.rada.gov.ua/laws/show/719-18;;49.0170881641, 31.3871147731;;;;;Ukraine - Government Budget;Ukraine - Government Budget;ukraine;Administration,Economy;Public Sector, National Level;Ucrania - Government Budget
Government Spending;All Central Government departments and numerous other agencies and local authorities;United Kingdom of Great Britain and Northern Ireland;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;Reino Unido de Gran Bretaña e Irlanda del Norte;https://www.gov.uk/Government/news/letter-to-Government-departments-on-opening-up-data;;54.1553497203, -2.89558470051;;;;;United Kingdom of Great Britain and Northern Ireland - Government Spending;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord - Government Spending;united-kingdom-of-great-britain-and-northern-ireland;Administration,Economy;Public Sector, National Level;Reino Unido de Gran Bretaña e Irlanda del Norte - Government Spending
Government Spending;Ministerio de Hacienda;Paraguay;Paraguay;Paraguay;https://datos.hacienda.gov.py/data/pgn-gasto;;-23.2362111621, -58.3910235263;;;;;Paraguay - Government Spending;Paraguay - Government Spending;paraguay;Administration,Economy;Public Sector, National Level;Paraguay - Government Spending
National Laws;"Sistema de Información legal del Estado Plurinacional; Gaceta Oficial";Bolivia;Bolivie (État plurinational de);Bolivia;https://www.gacetaoficialdebolivia.gob.bo;;-16.7146100945, -64.6709317911;;;;;Bolivia - National Laws;Bolivie (État plurinational de) - National Laws;bolivia;Administration;Public Sector, National Level;Bolivia - National Laws
National Laws;Biblioteca del Congreso;Chile;Chili;Chile;https://www.leychile.cl/Consulta/homebasico;;-37.8524898213, -71.37398044;;;;;Chile - National Laws;Chili - National Laws;chile;Administration;Public Sector, National Level;Chile - National Laws
National Laws;"Parliament of Ghana Hansard;";Ghana;Ghana;Ghana;https://www.parliament.gh/docs?type=HS;;7.95984841376, -1.20730138284;;;;;Ghana - National Laws;Ghana - National Laws;ghana;Administration;Public Sector, National Level;Ghana - National Laws
National Maps;Agentia Nationala de Cadastru si Publicitate Imobiliara;Romania;Roumanie;Rumania;https://geoportal.ancpi.ro/geoportal/viewer/index.html;;45.8436147334, 24.9692587593;;;;;Romania - National Maps;Roumanie - National Maps;romania;Geospatial;Public Sector, National Level;Rumania - National Maps
National Maps;Real Estate Cadastre Agency of the Republic of Macedonia;Republic of North Macedonia;Macédoine du Nord;Macedonia del Norte;https://gis.katastar.gov.mk/arec;;41.5996823123, 21.6974762673;;;;;Republic of North Macedonia - National Maps;Macédoine du Nord - National Maps;republic-of-north-macedonia;Geospatial;Public Sector, National Level;Macedonia del Norte - National Maps
National Maps;Centro Nacional de Registros;El Salvador;El Salvador masc.;El Salvador;https://cloud.cnr.gob.sv/ArcGIS/services/SVWGS84/MapOficial/mapserver/WMSServer;;13.7368971053, -88.8665121069;;;;;El Salvador - National Maps;El Salvador masc. - National Maps;el-salvador;Geospatial;Public Sector, National Level;El Salvador - National Maps
National Maps;Ministry of the Interior;Taiwan;;;https://data.gov.tw/node/33384;;23.7540132935, 120.950797994;;;;;Taiwan - National Maps;National Maps;taiwan;Geospatial;Public Sector, National Level;National Maps
National Statistics;Statistics South Africa, South African Reserve Bank, Republic of South Africa National Department of Trade and Industry,  Republic of South Africa National Treasury;South Africa;Afrique du Sud;Sudáfrica;https://www.statssa.gov.za/?page_id=1854&PPN=P0441&SCH=6981;;-28.993203293, 25.088778011;;;;;South Africa - National Statistics;Afrique du Sud - National Statistics;south-africa;Statistics;Public Sector, National Level;Sudáfrica - National Statistics
National Statistics;Kenya National Bureau of Statistics;Kenya;Kenya;Kenya;https://www.knbs.or.ke;;0.529561859037, 37.8580209601;;;;;Kenya - National Statistics;Kenya - National Statistics;kenya;Statistics;Public Sector, National Level;Kenya - National Statistics
National Statistics;IBGE - Instituto Brasileiro de Geografia e Estatística;Brazil;Brésil;Brasil;https://www.sidra.ibge.gov.br;;-10.7731085226, -53.089819954;;;;;Brazil - National Statistics;Brésil - National Statistics;brazil;Statistics;Public Sector, National Level;Brasil - National Statistics
National Statistics;Bundesamt für Statistik/Office fédéral de la statistique;Switzerland;Suisse;Suiza;https://www.bfs.admin.ch/bfs/en/home/statistics/catalogues-databases/tables.assetdetail.1080811.html;;46.8025693761, 8.23442917229;;;;;Switzerland - National Statistics;Suisse - National Statistics;switzerland;Statistics;Public Sector, National Level;Suiza - National Statistics
National Statistics;Department of Statistics Singapore;Singapore;Singapour;Singapur;https://www.singstat.gov.sg;;1.35161482284, 103.808050945;;;;;Singapore - National Statistics;Singapour - National Statistics;singapore;Statistics;Public Sector, National Level;Singapur - National Statistics
National Statistics;Instituto Nacional de Estadistica;Guatemala;Guatemala;Guatemala;https://www.ine.gob.gt/index.php/estadisticas;;15.7021351228, -90.3562422681;;;;;Guatemala - National Statistics;Guatemala - National Statistics;guatemala;Statistics;Public Sector, National Level;Guatemala - National Statistics
National Statistics;Statistics Botswana;Botswana;Botswana;Botswana;https://www.statsbots.org.bw/sites/default/files/publications/population_projection.pdf;;-22.1820040753, 23.8150276167;;;;;Botswana - National Statistics;Botswana - National Statistics;botswana;Statistics;Public Sector, National Level;Botswana - National Statistics
National Statistics;National Statistics Agency;Indonesia;Indonésie;Indonesia;https://microdata.bps.go.id/mikrodata/index.php/catalog;;-2.23021409274, 117.300428195;;;;;Indonesia - National Statistics;Indonésie - National Statistics;indonesia;Statistics;Public Sector, National Level;Indonesia - National Statistics
National Statistics;Instituto Nacional de Estadísticas;Uruguay;Uruguay  masc.;Uruguay;https://www3.ine.gub.uy:82/Anda4/index.php/catalog;;-32.7996453411, -56.0123963779;;;;;Uruguay - National Statistics;Uruguay  masc. - National Statistics;uruguay;Statistics;Public Sector, National Level;Uruguay - National Statistics
National Statistics;National Institue of Statistics;Cambodia;Cambodge;Camboya;https://www.nis.gov.kh/nis/NA/NA2015.htm;;12.7164322097, 104.923981315;;;;;Cambodia - National Statistics;Cambodge - National Statistics;cambodia;Statistics;Public Sector, National Level;Camboya - National Statistics
National Statistics;Statistisk sentralbyrå/Statistics Norway;Norway;Norvège;Noruega;https://data.norge.no/data/statistisk-sentralbyr%C3%A5/api-mot-statistikkbanken-til-ssb;;64.4481711399, 14.0848008367;;;;;Norway - National Statistics;Norvège - National Statistics;norway;Statistics;Public Sector, National Level;Noruega - National Statistics
National Statistics;Bangladesh Bureau of Statistics;Bangladesh;Bangladesh;Bangladesh;https://www.bbs.gov.bd/site/page/47856ad0-7e1c-4aab-bd78-892733bc06eb/Population-&-Housing;;23.8432324524, 90.2684981484;;;;;Bangladesh - National Statistics;Bangladesh - National Statistics;bangladesh;Statistics;Public Sector, National Level;Bangladesh - National Statistics
National Statistics;State Statistical Office of the Republic of Macedonia;Republic of North Macedonia;Macédoine du Nord;Macedonia del Norte;https://makstat.stat.gov.mk/PXWeb/pxweb/en/MakStat/MakStat__Naselenie__Vitalna;;41.5996823123, 21.6974762673;;;;;Republic of North Macedonia - National Statistics;Macédoine du Nord - National Statistics;republic-of-north-macedonia;Statistics;Public Sector, National Level;Macedonia del Norte - National Statistics
Procurement;FOD P&O;Belgium;Belgique;Bélgica;https://enot.publicprocurement.be;;50.6428511636, 4.66398918714;;;;;Belgium - Procurement;Belgique - Procurement;belgium;Administration;Public Sector, National Level;Bélgica - Procurement
Procurement;Federal Business Oportunities;United States of America;États-Unis d'Amérique;Estados Unidos de América;https://catalog.data.gov/dataset/federal-business-opportunities-data;;45.6957437802, -112.491750759;;;;;United States of America - Procurement;États-Unis d'Amérique - Procurement;united-states-of-america;Administration;Public Sector, National Level;Estados Unidos de América - Procurement
Procurement;Guatecompras: Sistema de Adquisiciones y Contrataciones del Estado de Guatemala;Guatemala;Guatemala;Guatemala;https://www.guatecompras.gt/concursos/consultaConcursos.aspx?o=1&d=1&mod=1;;15.7021351228, -90.3562422681;;;;;Guatemala - Procurement;Guatemala - Procurement;guatemala;Administration;Public Sector, National Level;Guatemala - Procurement
Weather Forecast;The Royal Netherlands Meteorological Institute;Netherlands;Pays-Bas;Países Bajos;https://data.knmi.nl/datasets/Tx1/2?q=temperature;;52.2492632896, 5.60341802695;;;;;Netherlands - Weather Forecast;Pays-Bas - Weather Forecast;netherlands;Weather Forecast;Public Sector, National Level;Países Bajos - Weather Forecast
